Title,SKU,Ports,Brand,Price,
"TL-SG105, 5 Port Gigabit Unmanaged Ethernet Switch, Network Hub, Ethernet Splitter, Plug & Play, Fanless Metal Design, Shielded Ports, Traffic Optimization,Navy Blue",TL-SG105,5,TP-Link,$15.99,
"TL-SG108 8 Port Gigabit Unmanaged Ethernet Network Switch, Ethernet Splitter Plug & Play Fanless Metal Design Shielded Ports Traffic Optimization",TL-SG108,8,TP-Link,$18.99,
"5-Port Gigabit Ethernet Unmanaged Switch (GS305) - Home Network Hub, Office Ethernet Splitter, Plug-and-Play, Silent Operation, Desktop or Wall Mount",GS305,5,NETGEAR,$17.99,
"8-Port Gigabit Ethernet Unmanaged Switch (GS308) - Home Network Hub, Office Ethernet Splitter, Plug-and-Play, Silent Operation, Desktop or Wall Mount",GS308,8,NETGEAR,$21.99,
"16 Port Gigabit Ethernet Network Switch, Desktop/ Wall-Mount, Fanless, Sturdy Metal w/ Shielded Ports, Traffic Optimization, Unmanaged (TL-SG116) Black",TL-SG116,16,TP-Link,$59.99,
"5-Port Gigabit Ethernet Unmanaged Switch GS105NA",GS105NA,5,NETGEAR,$34.99,
"8 Port Gigabit Switch | Easy Smart Managed | Plug & Play | Desktop/Wall-Mount | Sturdy Metal w/ Shielded Ports | Support QoS, Vlan, IGMP and LAG (TL-SG108E)",TL-SG108E,8,TP-Link,$26.99,
"8-Port PoE Gigabit Ethernet Plus Switch (GS108PEv3) - Managed, with 4 x PoE @ 53W, Desktop or Wall Mount, and Limited Lifetime Protection",,8,NETGEAR,$64.99,
"Business CBS110-8T-D Unmanaged Switch | 8 Port GE | Desktop | Ext PS | Limited Lifetime Protection (CBS110-8T-D-NA)",CBS110-8T-D-NA,8,Cisco,$57.52,
"5 Port Gigabit Ethernet Unmanaged PoE Switch, 4 Gigabit PoE+ @52W Built-in Power, 1 Uplink Gigabit Port + 1 SFP Slot, VLAN Mode, 802.3af/at, Desktop/Wall-Mount, Plug & Play",,5,STEAMEMO,$29.99,
"16-Port PoE Gigabit Ethernet Plus Switch (GS316EP) - Managed, with 15 x PoE+ @ 180W, 1 x 1G SFP Port, Desktop or Wall Mount",GS316EP,16,NETGEAR,$216.41,
"AI PoE Switch (8 POE Ports +2 Uplink), 802.3af/at PoE+ 100Mbps, 120W Built-in Power, Extend to 250Meter,Unmanaged Metal Plug and Play",,8,,$38.98,
"Business CBS110-16T Unmanaged Switch | 16 Port GE | Limited Lifetime Protection (CBS110-16T-NA)",CBS110-16T-NA,16,Cisco,$142.57,
"5-Port Industrial Unmanaged Fast Ethernet DIN-Rail Switch, 5 x Fast Ethernet Ports, IP30, Operating Temperature Range of -40° – 75°C (-40° – 167°F), Lifetime Protection, Black, TI-E50",TI-E50,5,TRENDnet,$58.49,
"Business CBS110-8PP-D Unmanaged Switch | 8 Port GE | Partial PoE | Desktop | Ext PS | Limited Lifetime Protection (CBS110-8PP-D-NA)",CBS110-8PP-D-NA,8,Cisco,$108.73,
"Business CBS250-24P-4G Smart Switch | 24 Port GE | PoE | 4x1G SFP | Limited Lifetime Protection (CBS250-24P-4G-NA)",CBS250-24P-4G-NA,24,Cisco,$484.99,
"Business CBS220-24T-4G Smart Switch | 24 Port GE | 4x1G SFP | 3-Year Limited Hardware Warranty (CBS220-24T-4G-NA)",CBS220-24T-4G-NA,24,Cisco,$241.97,
"Business CBS110-8T-D Unmanaged Switch | 8 Port GE | Desktop | Ext PS | Limited Lifetime Protection (CBS110-8T-D-NA)",CBS110-8T-D-NA,8,Cisco,$57.52,
